Brand	Model	Serviciu	Pret
iphone	iPhone 12 Pro	Acumulator	450
iphone	iPhone 12 Pro	Buton Power - Volum	250
iphone	iPhone 12 Pro	Camera Principala	450
iphone	iPhone 12 Pro	Carcasa Completa	550
iphone	iPhone 12 Pro	Curatare Apa (Oxid)	200
iphone	iPhone 12 Pro	Difuzor / Buzzer	250
iphone	iPhone 12 Pro	Display Aftermarket	380
iphone	iPhone 12 Pro	Display ORIGINAL	700
iphone	iPhone 12 Pro	Flex Proxy	350
iphone	iPhone 12 Pro	Folii de Protectie	100
iphone	iPhone 12 Pro	Geam Camera	300
iphone	iPhone 12 Pro	Microfon	390
iphone	iPhone 12 Pro	Modul Incarcare	390
iphone	iPhone 12 Pro	Montaj Placa de Baza	200
iphone	iPhone 12 Pro	Reconditionare Sticla Spate	400
iphone	iPhone 12 Pro	Resoftare / Update	150
iphone	iPhone 12 Pro	Sticla LCD	500
iphone	iPhone 12 Pro	Sticla Spate	400
iphone	iPhone 12 Pro Max	Acumulator	400
iphone	iPhone 12 Pro Max	Buton Power - Volum	300
iphone	iPhone 12 Pro Max	Camera Principala	450
iphone	iPhone 12 Pro Max	Carcasa Completa	600
iphone	iPhone 12 Pro Max	Curatare Apa (Oxid)	200
iphone	iPhone 12 Pro Max	Difuzor / Buzzer	250
iphone	iPhone 12 Pro Max	Display Aftermarket	470
iphone	iPhone 12 Pro Max	Display ORIGINAL	800
iphone	iPhone 12 Pro Max	Flex Proxy	350
iphone	iPhone 12 Pro Max	Folii de Protectie	100
iphone	iPhone 12 Pro Max	Geam Camera	300
iphone	iPhone 12 Pro Max	Microfon	650
iphone	iPhone 12 Pro Max	Modul Incarcare	350
iphone	iPhone 12 Pro Max	Montaj Placa de Baza	250
iphone	iPhone 12 Pro Max	Reconditionare Sticla Spate	450
iphone	iPhone 12 Pro Max	Resoftare / Update	150
iphone	iPhone 12 Pro Max	Sticla LCD	500
iphone	iPhone 12 Pro Max	Sticla Spate	400
iphone	iPhone 12 mini	Acumulator	250
iphone	iPhone 12 mini	Buton Power - Volum	300
iphone	iPhone 12 mini	Camera Principala	300
iphone	iPhone 12 mini	Carcasa Completa	450
iphone	iPhone 12 mini	Curatare Apa (Oxid)	200
iphone	iPhone 12 mini	Difuzor / Buzzer	250
iphone	iPhone 12 mini	Display Aftermarket	450
iphone	iPhone 12 mini	Display ORIGINAL	650
iphone	iPhone 12 mini	Flex Proxy	350
iphone	iPhone 12 mini	Folii de Protectie	100
iphone	iPhone 12 mini	Geam Camera	250
iphone	iPhone 12 mini	Microfon	330
iphone	iPhone 12 mini	Modul Incarcare	330
iphone	iPhone 12 mini	Montaj Placa de Baza	200
iphone	iPhone 12 mini	Reconditionare Sticla Spate	370
iphone	iPhone 12 mini	Resoftare / Update	150
iphone	iPhone 12 mini	Sticla LCD	400
iphone	iPhone 12 mini	Sticla Spate	400
iphone	iPhone 13	Acumulator	450
iphone	iPhone 13	Buton Power - Volum	300
iphone	iPhone 13	Camera Principala	450
iphone	iPhone 13	Carcasa Completa	700
iphone	iPhone 13	Curatare Apa (Oxid)	200
iphone	iPhone 13	Difuzor / Buzzer	300
iphone	iPhone 13	Display Aftermarket	400
iphone	iPhone 13	Display ORIGINAL	600
iphone	iPhone 13	Flex Proxy	350
iphone	iPhone 13	Folii de Protectie	100
iphone	iPhone 13	Geam Camera	250
iphone	iPhone 13	Microfon	400
iphone	iPhone 13	Modul Incarcare	400
iphone	iPhone 13	Montaj Placa de Baza	250
iphone	iPhone 13	Reconditionare Sticla Spate	400
iphone	iPhone 13	Resoftare / Update	150
iphone	iPhone 13	Sticla LCD	450
iphone	iPhone 13	Sticla Spate	400
iphone	iPhone 13 Pro	Acumulator	400
iphone	iPhone 13 Pro	Buton Power - Volum	300
iphone	iPhone 13 Pro	Camera Principala	450
iphone	iPhone 13 Pro	Carcasa Completa	700
iphone	iPhone 13 Pro	Curatare Apa (Oxid)	200
iphone	iPhone 13 Pro	Difuzor / Buzzer	300
iphone	iPhone 13 Pro	Display Aftermarket	450
iphone	iPhone 13 Pro	Display ORIGINAL	900
iphone	iPhone 13 Pro	Flex Proxy	350
iphone	iPhone 13 Pro	Folii de Protectie	100
iphone	iPhone 13 Pro	Geam Camera	250
iphone	iPhone 13 Pro	Microfon	450
iphone	iPhone 13 Pro	Modul Incarcare	450
iphone	iPhone 13 Pro	Montaj Placa de Baza	250
iphone	iPhone 13 Pro	Reconditionare Sticla Spate	400
iphone	iPhone 13 Pro	Resoftare / Update	150
iphone	iPhone 13 Pro	Sticla LCD	500
iphone	iPhone 13 Pro	Sticla Spate	450
iphone	iPhone 13 Pro Max	Acumulator	450
iphone	iPhone 13 Pro Max	Buton Power - Volum	300
iphone	iPhone 13 Pro Max	Camera Principala	550
iphone	iPhone 13 Pro Max	Carcasa Completa	700
iphone	iPhone 13 Pro Max	Curatare Apa (Oxid)	200
iphone	iPhone 13 Pro Max	Difuzor / Buzzer	300
iphone	iPhone 13 Pro Max	Display Aftermarket	530
iphone	iPhone 13 Pro Max	Display ORIGINAL	1100
iphone	iPhone 13 Pro Max	Flex Proxy	350
iphone	iPhone 13 Pro Max	Folii de Protectie	100
iphone	iPhone 13 Pro Max	Geam Camera	250
iphone	iPhone 13 Pro Max	Microfon	450
iphone	iPhone 13 Pro Max	Modul Incarcare	450
iphone	iPhone 13 Pro Max	Montaj Placa de Baza	250
iphone	iPhone 13 Pro Max	Reconditionare Sticla Spate	450
iphone	iPhone 13 Pro Max	Resoftare / Update	150
iphone	iPhone 13 Pro Max	Sticla LCD	550
iphone	iPhone 13 Pro Max	Sticla Spate	450
iphone	iPhone 14	Acumulator	400
iphone	iPhone 14	Buton Power - Volum	300
iphone	iPhone 14	Camera Principala	450
iphone	iPhone 14	Carcasa Completa	700
iphone	iPhone 14	Curatare Apa (Oxid)	200
iphone	iPhone 14	Difuzor / Buzzer	300
iphone	iPhone 14	Display Aftermarket	550
iphone	iPhone 14	Display ORIGINAL	800
iphone	iPhone 14	Flex Proxy	350
iphone	iPhone 14	Folii de Protectie	100
iphone	iPhone 14	Geam Camera	250
iphone	iPhone 14	Microfon	450
iphone	iPhone 14	Modul Incarcare	450
iphone	iPhone 14	Montaj Placa de Baza	250
iphone	iPhone 14	Reconditionare Sticla Spate	500
iphone	iPhone 14	Resoftare / Update	150
iphone	iPhone 14	Sticla LCD	550
iphone	iPhone 14	Sticla Spate	450
iphone	iPhone 14 Plus	Acumulator	430
iphone	iPhone 14 Plus	Buton Power - Volum	300
iphone	iPhone 14 Plus	Camera Principala	450
iphone	iPhone 14 Plus	Carcasa Completa	700
iphone	iPhone 14 Plus	Curatare Apa (Oxid)	200
iphone	iPhone 14 Plus	Difuzor / Buzzer	300
iphone	iPhone 14 Plus	Display Aftermarket	750
iphone	iPhone 14 Plus	Display ORIGINAL	800
iphone	iPhone 14 Plus	Flex Proxy	350
iphone	iPhone 14 Plus	Folii de Protectie	100
iphone	iPhone 14 Plus	Geam Camera	250
iphone	iPhone 14 Plus	Microfon	450
iphone	iPhone 14 Plus	Modul Incarcare	450
iphone	iPhone 14 Plus	Montaj Placa de Baza	250
iphone	iPhone 14 Plus	Reconditionare Sticla Spate	500
iphone	iPhone 14 Plus	Resoftare / Update	150
iphone	iPhone 14 Plus	Sticla LCD	550
iphone	iPhone 14 Plus	Sticla Spate	450
iphone	iPhone 14 Pro	Acumulator	450
iphone	iPhone 14 Pro	Buton Power - Volum	300
iphone	iPhone 14 Pro	Camera Principala	550
iphone	iPhone 14 Pro	Carcasa Completa	750
iphone	iPhone 14 Pro	Curatare Apa (Oxid)	200
iphone	iPhone 14 Pro	Difuzor / Buzzer	300
iphone	iPhone 14 Pro	Display Aftermarket	600
iphone	iPhone 14 Pro	Display ORIGINAL	1000
iphone	iPhone 14 Pro	Flex Proxy	350
iphone	iPhone 14 Pro	Folii de Protectie	100
iphone	iPhone 14 Pro	Geam Camera	250
iphone	iPhone 14 Pro	Microfon	450
iphone	iPhone 14 Pro	Modul Incarcare	450
iphone	iPhone 14 Pro	Montaj Placa de Baza	250
iphone	iPhone 14 Pro	Reconditionare Sticla Spate	550
iphone	iPhone 14 Pro	Resoftare / Update	150
iphone	iPhone 14 Pro	Sticla LCD	550
iphone	iPhone 14 Pro	Sticla Spate	450
iphone	iPhone 14 Pro Max	Acumulator	500
iphone	iPhone 14 Pro Max	Buton Power - Volum	300
iphone	iPhone 14 Pro Max	Camera Principala	550
iphone	iPhone 14 Pro Max	Carcasa Completa	800
iphone	iPhone 14 Pro Max	Curatare Apa (Oxid)	200
iphone	iPhone 14 Pro Max	Difuzor / Buzzer	300
iphone	iPhone 14 Pro Max	Display Aftermarket	650
iphone	iPhone 14 Pro Max	Display ORIGINAL	1550
iphone	iPhone 14 Pro Max	Flex Proxy	350
iphone	iPhone 14 Pro Max	Folii de Protectie	100
iphone	iPhone 14 Pro Max	Geam Camera	250
iphone	iPhone 14 Pro Max	Microfon	500
iphone	iPhone 14 Pro Max	Modul Incarcare	450
iphone	iPhone 14 Pro Max	Montaj Placa de Baza	250
iphone	iPhone 14 Pro Max	Reconditionare Sticla Spate	550
iphone	iPhone 14 Pro Max	Resoftare / Update	150
iphone	iPhone 14 Pro Max	Sticla LCD	600
iphone	iPhone 14 Pro Max	Sticla Spate	450
iphone	iPhone 15	Acumulator	400
iphone	iPhone 15	Buton Power - Volum	300
iphone	iPhone 15	Camera Principala	450
iphone	iPhone 15	Carcasa Completa	650
iphone	iPhone 15	Curatare Apa (Oxid)	200
iphone	iPhone 15	Difuzor / Buzzer	300
iphone	iPhone 15	Display Aftermarket	480
iphone	iPhone 15	Display ORIGINAL	1000
iphone	iPhone 15	Flex Proxy	350
iphone	iPhone 15	Folii de Protectie	100
iphone	iPhone 15	Geam Camera	250
iphone	iPhone 15	Microfon	450
iphone	iPhone 15	Modul Incarcare	450
iphone	iPhone 15	Montaj Placa de Baza	300
iphone	iPhone 15	Reconditionare Sticla Spate	550
iphone	iPhone 15	Resoftare / Update	150
iphone	iPhone 15	Sticla LCD	550
iphone	iPhone 15	Sticla Spate	600
iphone	iPhone 15 Plus	Acumulator	450
iphone	iPhone 15 Plus	Buton Power - Volum	300
iphone	iPhone 15 Plus	Camera Principala	450
iphone	iPhone 15 Plus	Carcasa Completa	650
iphone	iPhone 15 Plus	Curatare Apa (Oxid)	200
iphone	iPhone 15 Plus	Difuzor / Buzzer	300
iphone	iPhone 15 Plus	Display Aftermarket	490
iphone	iPhone 15 Plus	Display ORIGINAL	1300
iphone	iPhone 15 Plus	Flex Proxy	350
iphone	iPhone 15 Plus	Folii de Protectie	100
iphone	iPhone 15 Plus	Geam Camera	250
iphone	iPhone 15 Plus	Microfon	500
iphone	iPhone 15 Plus	Modul Incarcare	450
iphone	iPhone 15 Plus	Montaj Placa de Baza	300
iphone	iPhone 15 Plus	Reconditionare Sticla Spate	550
iphone	iPhone 15 Plus	Resoftare / Update	150
iphone	iPhone 15 Plus	Sticla LCD	700
iphone	iPhone 15 Plus	Sticla Spate	600
iphone	iPhone 15 Pro	Acumulator	550
iphone	iPhone 15 Pro	Buton Power - Volum	300
iphone	iPhone 15 Pro	Camera Principala	600
iphone	iPhone 15 Pro	Carcasa Completa	900
iphone	iPhone 15 Pro	Curatare Apa (Oxid)	200
iphone	iPhone 15 Pro	Difuzor / Buzzer	300
iphone	iPhone 15 Pro	Display Aftermarket	700
iphone	iPhone 15 Pro	Display ORIGINAL	1450
iphone	iPhone 15 Pro	Flex Proxy	350
iphone	iPhone 15 Pro	Folii de Protectie	100
iphone	iPhone 15 Pro	Geam Camera	250
iphone	iPhone 15 Pro	Microfon	500
iphone	iPhone 15 Pro	Modul Incarcare	450
iphone	iPhone 15 Pro	Montaj Placa de Baza	300
iphone	iPhone 15 Pro	Reconditionare Sticla Spate	650
iphone	iPhone 15 Pro	Resoftare / Update	150
iphone	iPhone 15 Pro	Sticla LCD	700
iphone	iPhone 15 Pro	Sticla Spate	650
iphone	iPhone 15 Pro Max	Acumulator	550
iphone	iPhone 15 Pro Max	Buton Power - Volum	300
iphone	iPhone 15 Pro Max	Camera Principala	650
iphone	iPhone 15 Pro Max	Carcasa Completa	1000
iphone	iPhone 15 Pro Max	Curatare Apa (Oxid)	200
iphone	iPhone 15 Pro Max	Difuzor / Buzzer	300
iphone	iPhone 15 Pro Max	Display Aftermarket	700
iphone	iPhone 15 Pro Max	Display ORIGINAL	1450
iphone	iPhone 15 Pro Max	Flex Proxy	350
iphone	iPhone 15 Pro Max	Folii de Protectie	100
iphone	iPhone 15 Pro Max	Geam Camera	250
iphone	iPhone 15 Pro Max	Microfon	570
iphone	iPhone 15 Pro Max	Modul Incarcare	450
iphone	iPhone 15 Pro Max	Montaj Placa de Baza	300
iphone	iPhone 15 Pro Max	Reconditionare Sticla Spate	750
iphone	iPhone 15 Pro Max	Resoftare / Update	150
iphone	iPhone 15 Pro Max	Sticla LCD	900
iphone	iPhone 15 Pro Max	Sticla Spate	700
iphone	iPhone 16	Acumulator	500
iphone	iPhone 16	Buton Power - Volum	300
iphone	iPhone 16	Camera Principala	500
iphone	iPhone 16	Carcasa Completa	900
iphone	iPhone 16	Curatare Apa (Oxid)	300
iphone	iPhone 16	Difuzor / Buzzer	300
iphone	iPhone 16	Display Aftermarket	800
iphone	iPhone 16	Display ORIGINAL	1150
iphone	iPhone 16	Flex Proxy	350
iphone	iPhone 16	Folii de Protectie	100
iphone	iPhone 16	Geam Camera	250
iphone	iPhone 16	Microfon	450
iphone	iPhone 16	Modul Incarcare	450
iphone	iPhone 16	Montaj Placa de Baza	300
iphone	iPhone 16	Reconditionare Sticla Spate	600
iphone	iPhone 16	Resoftare / Update	150
iphone	iPhone 16	Sticla LCD	700
iphone	iPhone 16	Sticla Spate	600
iphone	iPhone 16 Plus	Acumulator	500
iphone	iPhone 16 Plus	Buton Power - Volum	300
iphone	iPhone 16 Plus	Camera Principala	500
iphone	iPhone 16 Plus	Carcasa Completa	1000
iphone	iPhone 16 Plus	Curatare Apa (Oxid)	300
iphone	iPhone 16 Plus	Difuzor / Buzzer	300
iphone	iPhone 16 Plus	Display Aftermarket	800
iphone	iPhone 16 Plus	Display ORIGINAL	1300
iphone	iPhone 16 Plus	Flex Proxy	350
iphone	iPhone 16 Plus	Folii de Protectie	100
iphone	iPhone 16 Plus	Geam Camera	250
iphone	iPhone 16 Plus	Microfon	500
iphone	iPhone 16 Plus	Modul Incarcare	450
iphone	iPhone 16 Plus	Montaj Placa de Baza	300
iphone	iPhone 16 Plus	Reconditionare Sticla Spate	600
iphone	iPhone 16 Plus	Resoftare / Update	150
iphone	iPhone 16 Plus	Sticla LCD	700
iphone	iPhone 16 Plus	Sticla Spate	650
iphone	iPhone 16 Pro	Acumulator	700
iphone	iPhone 16 Pro	Buton Power - Volum	300
iphone	iPhone 16 Pro	Camera Principala	700
iphone	iPhone 16 Pro	Carcasa Completa	1200
iphone	iPhone 16 Pro	Curatare Apa (Oxid)	300
iphone	iPhone 16 Pro	Difuzor / Buzzer	300
iphone	iPhone 16 Pro	Display Aftermarket	800
iphone	iPhone 16 Pro	Display ORIGINAL	1700
iphone	iPhone 16 Pro	Flex Proxy	350
iphone	iPhone 16 Pro	Folii de Protectie	100
iphone	iPhone 16 Pro	Geam Camera	250
iphone	iPhone 16 Pro	Microfon	500
iphone	iPhone 16 Pro	Modul Incarcare	450
iphone	iPhone 16 Pro	Montaj Placa de Baza	300
iphone	iPhone 16 Pro	Reconditionare Sticla Spate	750
iphone	iPhone 16 Pro	Resoftare / Update	150
iphone	iPhone 16 Pro	Sticla LCD	750
iphone	iPhone 16 Pro	Sticla Spate	750
iphone	iPhone 16 Pro Max	Acumulator	700
iphone	iPhone 16 Pro Max	Buton Power - Volum	300
iphone	iPhone 16 Pro Max	Camera Principala	850
iphone	iPhone 16 Pro Max	Carcasa Completa	1300
iphone	iPhone 16 Pro Max	Curatare Apa (Oxid)	300
iphone	iPhone 16 Pro Max	Difuzor / Buzzer	300
iphone	iPhone 16 Pro Max	Display Aftermarket	1100
iphone	iPhone 16 Pro Max	Display ORIGINAL	1850
iphone	iPhone 16 Pro Max	Flex Proxy	350
iphone	iPhone 16 Pro Max	Folii de Protectie	100
iphone	iPhone 16 Pro Max	Geam Camera	250
iphone	iPhone 16 Pro Max	Microfon	450
iphone	iPhone 16 Pro Max	Modul Incarcare	450
iphone	iPhone 16 Pro Max	Montaj Placa de Baza	300
iphone	iPhone 16 Pro Max	Reconditionare Sticla Spate	800
iphone	iPhone 16 Pro Max	Resoftare / Update	150
iphone	iPhone 16 Pro Max	Sticla LCD	800
iphone	iPhone 16 Pro Max	Sticla Spate	800
iphone	iPhone 17	Acumulator	950
iphone	iPhone 17	Buton Power - Volum	300
iphone	iPhone 17	Camera Principala	550
iphone	iPhone 17	Carcasa Completa	1000
iphone	iPhone 17	Curatare Apa (Oxid)	300
iphone	iPhone 17	Difuzor / Buzzer	350
iphone	iPhone 17	Display Aftermarket	1100
iphone	iPhone 17	Display ORIGINAL	1750
iphone	iPhone 17	Flex Proxy	350
iphone	iPhone 17	Folii de Protectie	100
iphone	iPhone 17	Geam Camera	250
iphone	iPhone 17	Microfon	550
iphone	iPhone 17	Modul Incarcare	550
iphone	iPhone 17	Montaj Placa de Baza	300
iphone	iPhone 17	Reconditionare Sticla Spate	1000
iphone	iPhone 17	Resoftare / Update	200
iphone	iPhone 17	Sticla LCD	900
iphone	iPhone 17	Sticla Spate	650
iphone	iPhone 17 Air	Acumulator	1100
iphone	iPhone 17 Air	Buton Power - Volum	300
iphone	iPhone 17 Air	Camera Principala	550
iphone	iPhone 17 Air	Carcasa Completa	1100
iphone	iPhone 17 Air	Curatare Apa (Oxid)	300
iphone	iPhone 17 Air	Difuzor / Buzzer	400
iphone	iPhone 17 Air	Display Aftermarket	1250
iphone	iPhone 17 Air	Display ORIGINAL	2300
iphone	iPhone 17 Air	Flex Proxy	350
iphone	iPhone 17 Air	Folii de Protectie	100
iphone	iPhone 17 Air	Geam Camera	250
iphone	iPhone 17 Air	Microfon	550
iphone	iPhone 17 Air	Modul Incarcare	550
iphone	iPhone 17 Air	Montaj Placa de Baza	300
iphone	iPhone 17 Air	Reconditionare Sticla Spate	1200
iphone	iPhone 17 Air	Resoftare / Update	200
iphone	iPhone 17 Air	Sticla LCD	900
iphone	iPhone 17 Air	Sticla Spate	700
iphone	iPhone 17 Pro	Acumulator	1050
iphone	iPhone 17 Pro	Buton Power - Volum	300
iphone	iPhone 17 Pro	Camera Principala	950
iphone	iPhone 17 Pro	Carcasa Completa	1250
iphone	iPhone 17 Pro	Curatare Apa (Oxid)	300
iphone	iPhone 17 Pro	Difuzor / Buzzer	450
iphone	iPhone 17 Pro	Display Aftermarket	1200
iphone	iPhone 17 Pro	Display ORIGINAL	2650
iphone	iPhone 17 Pro	Flex Proxy	350
iphone	iPhone 17 Pro	Folii de Protectie	100
iphone	iPhone 17 Pro	Geam Camera	250
iphone	iPhone 17 Pro	Microfon	650
iphone	iPhone 17 Pro	Modul Incarcare	650
iphone	iPhone 17 Pro	Montaj Placa de Baza	300
iphone	iPhone 17 Pro	Reconditionare Sticla Spate	1350
iphone	iPhone 17 Pro	Resoftare / Update	150
iphone	iPhone 17 Pro	Sticla LCD	900
iphone	iPhone 17 Pro	Sticla Spate	800
iphone	iPhone 17 Pro Max	Acumulator	1050
iphone	iPhone 17 Pro Max	Buton Power - Volum	300
iphone	iPhone 17 Pro Max	Camera Principala	1100
iphone	iPhone 17 Pro Max	Carcasa Completa	1400
iphone	iPhone 17 Pro Max	Curatare Apa (Oxid)	300
iphone	iPhone 17 Pro Max	Difuzor / Buzzer	450
iphone	iPhone 17 Pro Max	Display Aftermarket	1250
iphone	iPhone 17 Pro Max	Display ORIGINAL	2650
iphone	iPhone 17 Pro Max	Flex Proxy	350
iphone	iPhone 17 Pro Max	Folii de Protectie	100
iphone	iPhone 17 Pro Max	Geam Camera	250
iphone	iPhone 17 Pro Max	Microfon	650
iphone	iPhone 17 Pro Max	Modul Incarcare	650
iphone	iPhone 17 Pro Max	Montaj Placa de Baza	450
iphone	iPhone 17 Pro Max	Reconditionare Sticla Spate	1350
iphone	iPhone 17 Pro Max	Resoftare / Update	200
iphone	iPhone 17 Pro Max	Sticla LCD	1100
iphone	iPhone 17 Pro Max	Sticla Spate	900
iphone	iPhone X	Acumulator	230
iphone	iPhone X	Buton Power - Volum	140
iphone	iPhone X	Camera Principala	350
iphone	iPhone X	Carcasa Completa	360
iphone	iPhone X	Curatare Apa (Oxid)	200
iphone	iPhone X	Difuzor / Buzzer	200
iphone	iPhone X	Display Aftermarket	300
iphone	iPhone X	Display ORIGINAL	450
iphone	iPhone X	Flex Proxy	220
iphone	iPhone X	Folii de Protectie	80
iphone	iPhone X	Geam Camera	140
iphone	iPhone X	Microfon	210
iphone	iPhone X	Modul Incarcare	210
iphone	iPhone X	Montaj Placa de Baza	150
iphone	iPhone X	Reconditionare Sticla Spate	300
iphone	iPhone X	Resoftare / Update	100
iphone	iPhone X	Sticla LCD	350
iphone	iPhone X	Sticla Spate	300
iphone	iPhone XR	Acumulator	200
iphone	iPhone XR	Buton Power - Volum	120
iphone	iPhone XR	Camera Principala	350
iphone	iPhone XR	Carcasa Completa	360
iphone	iPhone XR	Curatare Apa (Oxid)	200
iphone	iPhone XR	Difuzor / Buzzer	200
iphone	iPhone XR	Display Aftermarket	330
iphone	iPhone XR	Display ORIGINAL	450
iphone	iPhone XR	Flex Proxy	250
iphone	iPhone XR	Folii de Protectie	100
iphone	iPhone XR	Geam Camera	140
iphone	iPhone XR	Microfon	230
iphone	iPhone XR	Modul Incarcare	230
iphone	iPhone XR	Montaj Placa de Baza	150
iphone	iPhone XR	Reconditionare Sticla Spate	300
iphone	iPhone XR	Resoftare / Update	120
iphone	iPhone XR	Sticla LCD	350
iphone	iPhone XR	Sticla Spate	300
iphone	iPhone XS	Acumulator	230
iphone	iPhone XS	Buton Power - Volum	140
iphone	iPhone XS	Camera Principala	450
iphone	iPhone XS	Carcasa Completa	400
iphone	iPhone XS	Curatare Apa (Oxid)	200
iphone	iPhone XS	Difuzor / Buzzer	200
iphone	iPhone XS	Display Aftermarket	300
iphone	iPhone XS	Display ORIGINAL	450
iphone	iPhone XS	Flex Proxy	250
iphone	iPhone XS	Folii de Protectie	100
iphone	iPhone XS	Geam Camera	160
iphone	iPhone XS	Microfon	250
iphone	iPhone XS	Modul Incarcare	250
iphone	iPhone XS	Montaj Placa de Baza	150
iphone	iPhone XS	Reconditionare Sticla Spate	300
iphone	iPhone XS	Resoftare / Update	110
iphone	iPhone XS	Sticla LCD	350
iphone	iPhone XS	Sticla Spate	300
iphone	iPhone Xs Max	Acumulator	220
iphone	iPhone Xs Max	Buton Power - Volum	140
iphone	iPhone Xs Max	Camera Principala	450
iphone	iPhone Xs Max	Carcasa Completa	400
iphone	iPhone Xs Max	Curatare Apa (Oxid)	200
iphone	iPhone Xs Max	Difuzor / Buzzer	200
iphone	iPhone Xs Max	Display Aftermarket	350
iphone	iPhone Xs Max	Display ORIGINAL	600
iphone	iPhone Xs Max	Flex Proxy	270
iphone	iPhone Xs Max	Folii de Protectie	100
iphone	iPhone Xs Max	Geam Camera	140
iphone	iPhone Xs Max	Microfon	250
iphone	iPhone Xs Max	Modul Incarcare	200
iphone	iPhone Xs Max	Montaj Placa de Baza	150
iphone	iPhone Xs Max	Reconditionare Sticla Spate	300
iphone	iPhone Xs Max	Resoftare / Update	130
iphone	iPhone Xs Max	Sticla LCD	400
iphone	iPhone Xs Max	Sticla Spate	300
samsung	Samsung A10	Acumulator	180
samsung	Samsung A10	Camera Principala	120
samsung	Samsung A10	Camera Selfie	80
samsung	Samsung A10	Casca / Sita	130
samsung	Samsung A10	Curatare Apa (Oxid)	200
samsung	Samsung A10	Difuzor / Buzzer	150
samsung	Samsung A10	Display	265
samsung	Samsung A10	Geam Camera	80
samsung	Samsung A10	Inlocuire Capac	180
samsung	Samsung A10	Microfon	140
samsung	Samsung A10	Modul/Mufa Incarcare	140
samsung	Samsung A10	Montaj Placa de Baza	150
samsung	Samsung A10	Resoftare / Update	100
samsung	Samsung A10	Sticla	320
